Film Title,Film Year,Film Length,Genre 1,Genre 2,Genre 3,Genre 4,Total Ratings,Number of Fans,Average Ratings,0.5 Rating,1.0 Rating,1.5 Rating,2.0 Rating,2.5 Rating,3.0 Rating,3.5 Rating,4.0 Rating,4.5 Rating,5.0 Rating,Review Text,Number of Paragraphs,Number of Likes,Comments,Followers,Following,Date,Rating
Memories of Underdevelopment,1968,99,drama, , , ,3762,54 fans,3.85,10,26,33,105,127,434,675,1195,644,513," This isn’t what I was expecting. I find it very difficult to know quite what it is doing, to pin it down, but that is what makes it interesting. A film of the Revolution, about Revolutionary Cuba: a political film, but not a polemic. Sergio (Sergio Corrieri) sees his parents and wife off at the airport: they are heading for Miami, but Sergio is staying in Havana. It is the early 1960s. As another character later says, Sergio is neither a revolutionary nor a counter-revolutionary. He is obviously from a privileged background. His friend Pablo (Omar Valdes) is cynical about the new order: he and Sergio share a past life, maybe they were playboys, but now Pablo bores Sergio: this is a past he wants to rid himself of. In an ‘essay’ sequence about the Bay of Pigs Sergio explains the different types of bourgeoisie who supported the counter-Revolution, but it is left open where he might sit. Sergio dabbles as a writer, goes to a revolutionary writers’ forum, but it is difficult to know if he is part of this or just a dilettante. And all the time he lives comfortably, not working, living on the rents from his properties. Much of the film is centred on his relationships with a number of women. We see him with his wife (Yolanda Farr), their relationship collapsing: this could be taken symbolically as Sergio distancing himself from the old bourgeoisie, rejecting his old life, but it is difficult to take this as a positive move: he seems haunted by her, listening to an argument that he taped. He tells of a relationship in his youth with Hannah (Ingar Seeland), the daughter of German refugees fleeing from the Nazis: he describes their relationship as though she was the great love of his life, but when she leaves Batista’s dictatorship with her family, he stays behind to manage a furniture shop: it was a potential life he turned his back on. Most importantly there is Elena (Daisy Granados), a young woman he picks up: she is like one of the young women out of Godard’s 1960s films, Chantal Goya in Masculine feminine: she is a consumerist, enjoying clothes: she is bored by Sergio’s cultural pretensions: finally she is charmingly shallow. She could be seen as a symbol of a non- or anti-Revolutionary youth entranced by foreign luxury and a consumerist lifestyle...but that is not how it plays. Sergio is the seducer, the middle class man pursuing the girl from a poorer background. And when he gets bored with her he shuts her out. One of the great emotional uncertainties about the film is that we are aligned with Sergio, while constantly being distanced from his actions. (Or, to put it another way, he is an unsympathetic hero...or a non-heroic hero.) And he has erotic fantasies about his cleaner, Noemi (Eslinda Nunez). Whatever his ambitions for reforming himself and aligning himself with the Revolution, they are constantly exposed by his responses to those about him, who are often used or objectified. Part of our alignment with Sergio is formed by the constant use of an inner narration: we have access to Sergio’s thoughts. I presume much of this is taken directly from Edmundo Desnoes’ novel (he has written the script), but what we see is not limited to illustrating the inner voice; however, the visual does not work in opposition, it does not create irony; rather it constantly contextualizes the narration, showing greater intricacies in the occurrences than Sergio describes: it constantly opens his narration up to new views and interpretations. And I think it is here that the richness of the film lies, but also the uncertainty. The film is an investigation of the tensions between the actions of Sergio’s personal life and the political context of Revolutionary Cuba – slightly tritely, we could say the film is about the conflict of the personal and the political, and the way the personal undermines the political if it is not itself politicized. On one viewing I am uncertain whether the film fully expresses both levels of meaning, whether the story of Sergio and the story of the Revolution are brought together in a satisfactory way...but that might be the point of the film: the lack of integration in the film indicating an openness of the political future. (And, I realize, I have not indicated the zest of Gutierrez Alea’s filmmaking. The way the film moves from dramatizations to essay documentary is obviously deeply influenced by Godard, but Alea draws on the influence in an individualistic way: it is as though early non-political Godard and later political Godard were coming together into the same film as conflict. And the film, like many low budget films from the 1960s and ‘70s, has a roughness in technique: there are ambitious camera movements that remain slightly wobbly. I like this: it exposes the technology of the filmic process. It seems impossible today: maybe the technology is just too good, so now filmmakers like Lars von Trier just have to fake formal roughness.) May 2014",2,3,0,7,66,2/8/16,rated-9
Memories of Underdevelopment,1968,99,drama, , , ,3762,54 fans,3.85,10,26,33,105,127,434,675,1195,644,513," A remarkable narrative to an extraordinary revolutionary story which were changed some stuff in Cuba then, and one of the best films ever made.Memories of underdevelopment is a stunning look into post revolutionary Cuba.",1,4,0,315,872,3-Sep-18,rated-10
Memories of Underdevelopment,1968,99,drama, , , ,3762,54 fans,3.85,10,26,33,105,127,434,675,1195,644,513," One of the best things about international cinema is being exposed to cultures and world history that you normally wouldn’t be. As someone living in the United States, and who went to school here, my understanding of cultures and history that isn’t predominantly skewed to the white American perspective was pretty low coming out of high school, and would still be low if I didn’t actively work to seek out other avenues of education. International cinema provides so much value, especially when you can use the works of these filmmakers as fuel to then go and research the background of the countries where these films were made and the social/political climate that informed the works. It’s invigorating, and something that Scoresese’s World Cinema Project highlights in great detail, bringing films from some of the obvious bigger countries like China and South Korea, but also including significant works from countries like Brazil, Senegal, and the Philippines, places whose cinema rarely, if ever, gets the kind of exposure that the WCP can give them.  Tomás Gutiérrez Alea’s Memories of Underdevelopment takes place in post-revolution Cuba as a bourgeois novelist (Sergio Corrieri) spends his time wandering about the city, reflecting on his memories of his wife and the changing times of Cuba while occasionally getting into romantic encounters with other women. It’s got this great blend of Resnais and Fellini going on, with Alea merging real documentary footage of the events in Cuba with the ramblings of this self-centered arrogant prick, evidence that you can make a great movie with an extremely unlikable protagonist. “Underdevelopment” is shown to take many stages in Alea’s film, from the state of the country’s political and social structures to its government to the main character as a human being and in his relationships with women. He, ironically, refers to the women he’s seeing as being underdeveloped, when in reality it’s only his own toxic perspective that treats them as inferior to himself for no reason other than his perceived superiority that’s been ingrained in him through the patriarchal system.  There’s a long sequence in the film detailing a rape trial between Sergio and one of these women, and since we see the film through Sergio’s perspective/experience, it almost feels like the movie is trying to get us to side with him. Really though, it’s a shrewd way of trojan horsing a scathing indictment of the criminal justice system in Cuba, and the oppression of women that is magnified by it. Memories of Underdevelopment could almost be mistaken for being slight, but it’s the kind of movie that only impresses more and more the longer that it ruminates with you and the more you begin to dissect everything that you saw within it. Like Fellini, the way that we follow Sergio as he aimlessly wander the world feels casual, but eventually you realize that his aimlessness is only capable from the sheer privilege of his bourgeois standing, while the entire country is in absolute chaos around him.  Added to Top 250 films of all-timeAdded to Ranked: World Cinema ProjectAdded to Movies new to me in 2020",4,3,0,247,791,26-Jun-20,rated-8
Memories of Underdevelopment,1968,99,drama, , , ,3762,54 fans,3.85,10,26,33,105,127,434,675,1195,644,513," i’ll have to rewatch to be able to articulate more clear/specific thoughts but the overall undertaking this film represents was insanely impressive to me. most of all, the way the documentarian style works with the narrative (and how the dramatized scenes are interwoven with found footage and stills), and especially the movement of the camera are completely mesmerizing. situating the alienated bourgeois dilettante protagonist typical of the new waves in a third world (post-)revolutionary context is ingenious and handled excellently; the criticism cuts in every direction, but not in any cheap way — it is legitimately complex and nuanced.  the black and white does the film a lot of favours in this regard, i think. the same shots of revolutionary posters and the works of marx/lenin/mao and such appeared in hyper-saturated hues (by virtue of purposeful art direction or technological happenstance of contemporary film processes) in many 60s radical films; the image of the revolutionary third world loomed over the west as a call to action. here, situated within the (post-)revolutionary society itself, things look different.* this isn’t a vulgar reversal, but instead works in service of the film’s tone quite well.  *i worry this dichotomy reflects the kind of cheap criticism i praise the film for not falling into, but idk how else to word it lol — the cuban revolution isn’t reducible to false promises (some reviews on here suggest this but i really don’t think the film was so one-dimensional), nor the western left’s engagement with third world struggles to naïveté/superficial aesthetics. it is only a difference of tone, of angle of critique",6,2,0,11,14,11/7/20,rated-10
Memories of Underdevelopment,1968,99,drama, , , ,3762,54 fans,3.85,10,26,33,105,127,434,675,1195,644,513," I think people read this as a petit bourgeois centrist's guide to ignoring a revolution (and it is to a certain extent), but when the random American in the film asks ""If this is really a revolution then why are you constrained to traditional forms of communication?"" I think he communicated the larger message of contradiction in the socialist transition phase from capitalism to socialism. In the film's 'new-wave' style and the main character acting as a narcissistic writer, both communicate the same kind of cultural deadlock a revolution faces against a reified capitalist world. In other words, our imaginations are limited by the base ideology until a revolution plays out, gains power, fails, tries again, starts over, etc.. The creepy bourgeois writer doesn't become a Che Guevara character overnight. Ideology changes over time along with the economic superstructures that can only really change with the base. Capitalism wasn't installed overnight after feudalism, neither is communism after capitalism.",1,5,0,6,9,14/7/20,rated-10
Memories of Underdevelopment,1968,99,drama, , , ,3762,54 fans,3.85,10,26,33,105,127,434,675,1195,644,513," Great film. Some incredibly striking uses of camerawork, sound and editing. Need to see more Cuban cinema!",1,2,3,"1,173","1,210",18-Aug-14,rated-10
Memories of Underdevelopment,1968,99,drama, , , ,3762,54 fans,3.85,10,26,33,105,127,434,675,1195,644,513, يا إلهي !!! فيلم عظيم و اعطاني فلاش باكس ل التحفة Face Of Another 1966,1,3,0,132,696,7-Jul-18,rated-9
Memories of Underdevelopment,1968,99,drama, , , ,3762,54 fans,3.85,10,26,33,105,127,434,675,1195,644,513," “El venció el miedo a la muerte pero no pudo soportar el miedo a la vida, al tiempo, a un mundo que le empezaba a quedar demasiado grande.”  ",2,2,0,80,73,12-Jul-20,rated-10
Memories of Underdevelopment,1968,99,drama, , , ,3762,54 fans,3.85,10,26,33,105,127,434,675,1195,644,513," This reminds me of another film I saw weeks ago, I Am Curious (Yellow). In which there is a character driven story within the confines of the political environment of a certain nation. With the politics being a driving factor in the character story. In this film, it is Cuba during the 50s and 60s, at the height of its Revolution that would last decades afterwards. I'll speak subjectively for a bit. Because I find this film to be quite contemporary with the situation in my home country of Venezuela. In fact, a lot of this film reminded me of the environment around me when I lived there as a child. One easily being the anti-imperialist message against the United States. I guess I'll provide some of that context right now as best I can. Without deviating too much from the film... Many in Venezuela, and certainly in other countries around the world, look at the United States as the world police that does not need to intervene everywhere. Naming them imperialist who only want to have control over countries around them. With certain reason, given one example of it is the situation in the Bay of Pigs around the time the film is depicting. To show how this still continues, I still vividly remember as a kid seeing billboard signs on a highway that depicted George W. Bush as the devil incarnate. It's that serious. It has been present for decades, and continues to be so today. Hence why this film feels contemporary in its message. Although, as far as I know, it hasn't been censored in any way here in the United States, that's certainly surprising given its theme and presentation of the U.S. With it having a Blu-ray release in a couple of months, it is kind of exciting seeing something like this being shown to as many people who are interested. Besides that. The film itself is quite good. Again, it's essentially a character study of an individual during this era in Cuba, and how events surrounding this character affects his lifestyle and decisions, and the decisions of those around them. Shockingly enough, the story has a fascinating moment near the end that I won't say anything about. It really came out of left field and caught my eye. This is a good one. Again, I'm kind of excited that it can even be shown without any censors in a country that the film essentially vilifies to some extent. Blessed be The World Cinema Project! Now, at some point I have to stop watching political films for a bit. I don't know when, but I may need a break from them...",8,3,0,109,246,31-May-18,rated-6
Memories of Underdevelopment,1968,99,drama, , , ,3762,54 fans,3.85,10,26,33,105,127,434,675,1195,644,513," A prismatic, melancholy portrait of ennui and boredom, a man so aloof that his life increasingly comes to feel like a missed encounter with itself. Its stark alienation naturally reminds one of Antonioni's modernist masterworks, as its hero, Sergio, inhabits stark, urban spaces (his apartment building a lifeless concrete monolith on the outside, lifelessly but ever so tastefully decorated on the inside) that increasingly come to feel like prisons. But the fact that Sergio's alienation plays out against Cuba's post-revolutionary backdrop aligns the film also with works ranging from Visconti's Senso and Bertolucci's Before the Revolution to Garrel's Regular Lovers, films brimming with revolutionary zeal, but focused on upper-class individuals so trapped by their own bourgeois trappings and intimate desires that their collective's dreams become nothing but the vague background for their own personal failures. Sergio wanders post-revolutionary Havana, its streets emptied by so many of the upper-class who fled to Florida, a disaffected intellectual with nowhere to go and nothing to do. He remembers his childhood, a past idyllic affair, and also his tumultuous marriage, while also pursuing the younger, working-class Elena (an affair that ends in a dramatic courtroom scene). Everywhere and everyone outside of himself he sees as so much stagnation and ""underdevelopment"" (In the tropics, everything ripens and decomposes in a day”), a people and a land unable to grow, caught between Russia and the United States, the disconnected intelligentsia and the unending impoverishment of actual material conditions. And Sergio, the disaffected man whose seen it all and knows all the answers, proves not immune to this condition, his own impotence and lethargy the film's ultimate condemnation, before it eerily ends by suggesting the possibility of sending the whole blighted land off into the void.",1,3,0,227,327,25-Jan-18,rated-8
Memories of Underdevelopment,1968,99,drama, , , ,3762,54 fans,3.85,10,26,33,105,127,434,675,1195,644,513," Movie #2 of Extra Credit Film Club FALL 2018 The world for Cuba in the 1960’s was quite interesting. While there are many stories about the political changes during that decade, what about the cultural and sexuality changes? This film explores both by following a man who is decently rich, but feels undestined. While there are some things that do not work in this film, I find it very interesting both from a story perspective and a filmmaking perspective. It tackles many political issues, sexism problems, and indifference of change. It handles these topics well, as the main character, though somewhat unlikable, is pretty realistic in a weird way, as he is does not care that much about politics and that his passion is more into girls... which can be extremely uncomfortable at times. The film is beautifully shot, it has a fantastic musical score and I love the style of the pacing. You can tell that this film took risks just by its production. My problem is the randomness of the film. There were several times where they would abruptly show a scene that had little to do with the story and it me lose focus at times. It may have something to do with the big picture of the message that the director wanted to send, but it still confused me. Memories of Underdevelopment was solid. It had thought-provoking ideas and it was very artistic. It gives you a glimpse of how life in the sixties were in Cuba. It was not for me personally, but I highly recommend it to history buffs who like watching these kinds of films made in the sixties that address these problems.",3,10,0,595,526,28-Sep-18,rated-7
Memories of Underdevelopment,1968,99,drama, , , ,3762,54 fans,3.85,10,26,33,105,127,434,675,1195,644,513," it’s beautiful—the stylized editing and the music are incredible, and as a time capsule of mid-century cuba it’s invaluable—i just wish that male filmmakers would be more creative with their metaphors instead of constantly going right for misogyny/mistreatment of women/sexual assault as a symbol of political issues. yeah, i know this is a 50 year old movie—doesn’t mean i’m not allowed to be critical as a modern viewer. on a technical level i loved it. i’d love it more if women were treated like people. shhh. (cuba done!)",2,6,0,131,"1,504",11-Sep-19,rated-8
Memories of Underdevelopment,1968,99,drama, , , ,3762,54 fans,3.85,10,26,33,105,127,434,675,1195,644,513, apparently women do whatever you want no matter how uncomfortable they clearly are,1,6,0,86,182,28-Jan-19,0
Memories of Underdevelopment,1968,99,drama, , , ,3762,54 fans,3.85,10,26,33,105,127,434,675,1195,644,513, longest hour and a half of my life. it just kept getting worse and worse. stop letting men make movies yeah yeah yeah yeah it’s all representative of cuba or whatever. doesn’t mean it isn’t trash,2,7,5,54,71,27-Sep-17,rated-2
Memories of Underdevelopment,1968,99,drama, , , ,3762,54 fans,3.85,10,26,33,105,127,434,675,1195,644,513," March Around the World 2020 6/30: Cuba (2018: N/A, 2019: N/A)  Told in high-rise rooms amidst national political tensions as piled higher and higher in the then recent Cuban history, Memories of Underdevelopment sees an alienated bout of self-reflection akin to Michelangelo Antonioni, all the while continuing in the late 60's early 70's trend of frantic, sometimes violent political dramas from the minds of Costa-Gavras, Gillo Pontecorvo, and, of course, Tomás Gutiérrez Alea. Alea's efforts here make for an atmospheric and decaying environment, much of which is implied in quick montages and dialogue rather than ever seen bleeding into the world of its main character. Underdevelopment is often something he views at from a distance, at least underdevelopment in a more visceral or explicit sense. Cuba's state of affairs take hold on his behavior and his personal life, even in his relative avoidance of its uglier side. Underdevelopment less so kills the man, but it does take away his family, leaving him lost and alone in an uncertain future. Alea's experiments here as directors are maybe less refined or confident than some of his peers in political or social anger, whether that be Gavras, Pontecorvo, Cassavettes, Bertolucci, Brault, etc. His finest techniques and scenes, however, do stand strong amidst tougher company. Imposing shots of digressing actions of violence and suffering, an intense close-up growing so grainy that it becomes visually incomprehensible, seeing the country from an apartment's binoculars; it might not always be the most organized or sharpest film in its company, but it packs a real punch when needed.  Seeing underdevelopment in a seething, poetic light, of time in ambiguity and culture shuffling like playing cards, Memories of Underdevelopment strikes the same chords in ways similar films have done before and since its release. But framing it from this unique, towering bourgeois perspective while never sacrificing the atmosphere that makes an environment like this so imposing, it is a testament to Alea's skills as a director and as a storyteller. A worthy addition to cinema's angriest and tensest years yet.",6,13,4,483,"2,119",6-Mar-20,rated-8
Memories of Underdevelopment,1968,99,drama, , , ,3762,54 fans,3.85,10,26,33,105,127,434,675,1195,644,513," Ok so I am aware that Sergio was Cuban so he is not technically a white man, but, Dear God he was such a White Man™. Can someone please stop letting men make movies about cis straight white men who are going through undeserved identity crises yet somehow manage to believe that they are better than all of the people around them. I feel after watching this that I will always be left wondering when men will finally see women as people, and stop reducing them to fantasies that they can fuck or be sad about.",1,3,0,19,26,5/3/19,rated-3
Memories of Underdevelopment,1968,99,drama, , , ,3762,54 fans,3.85,10,26,33,105,127,434,675,1195,644,513," Historical significance aside, Memories of Underdevelopment is a striking, often times alienating chore. I love a fascinating carousel of images that both bay and hum, but dang, spending time with Sergio is about as pleasant as cleaning the grates of an apartment pool grill.",1,4,0,76,515,25-May-19,rated-6
Memories of Underdevelopment,1968,99,drama, , , ,3762,54 fans,3.85,10,26,33,105,127,434,675,1195,644,513, - Why an actress?- I'm tired of always being myself.I can be other people and not be considered crazy.,1,7,0,220,343,3-Sep-20,rated-6
Memories of Underdevelopment,1968,99,drama, , , ,3762,54 fans,3.85,10,26,33,105,127,434,675,1195,644,513," Film #25 in March Around the World 2016 Memories of Underdevelopment sings an elegy for Cuba and its people, providing a constant stream of well-developed metaphors that emphasize how the country has been held back from its full potential by forces both within and without. Though it has a single protagonist, its meaning is far more general. Sergio is not meant to be an everyman: he is intelligent, cultured, and wealthy. His experience in Cuba is seen to be indicative of Cuba's experience, not a Cuban's experience. The triumph of entropy in ensuring Cuba's underdevelopment is indicted here, as the film captures Sergio's unfortunate inability to effect change in his country at all, despite his place in society. Cuba is seen as a country at odds with itself, where success and proper standing in the world are within reach but never reached for. Where many of the film's contemporaries are acerbic or angry in their political critique, Memories of Underdevelopment is almost lyrical, effortlessly extrapolating from Sergio's experience to illustrate its point about Cuba as a whole. Gutiérrez Alea's Cuba is a frustrating milieu. The film does not provide answers to assuage the frustration; instead, it expresses confusion regarding whether answers exist at all.",3,5,0,46,519,28-Mar-16,rated-9
Memories of Underdevelopment,1968,99,drama, , , ,3762,54 fans,3.85,10,26,33,105,127,434,675,1195,644,513, “more rotten than ripe” how perfect when sergio gets all his cigarettes redistributed amongst the poor.,2,14,0,508,"1,449",19-Apr-19,rated-9
Memories of Underdevelopment,1968,99,drama, , , ,3762,54 fans,3.85,10,26,33,105,127,434,675,1195,644,513," Set in Havana following the Bay of Pigs invasion which triggered a mass exodus from the country in 1961, Memories of Underdevelopent is neither defined by outright dissent nor propagandist fervor, but by genuine uncertainty. I was taken aback on the ambivalence towards the actual revolution. Our intriguing protagonist seems to be invested in anything but the politics surrounding.  I really enjoyed the freeze frames, which was a fresh technique I haven't seen used in this way. In addition there were interesting editing choices, like looping certain actions, like a gif. I found this to be fresh as well, but also quite jarring. These technical aspects paired with the philosophical voiceovers created a pensive mood throughout the film, in light of political confusion. Terrific acting by the protagonist played by Sergio Corrieri. His performance was great and I could could gather a lot of emotion from his eyes. As for the narrative itself, I found it to be mostly bland or done better in other films. As SilentDawn writes, ""It's less a film about Cuba's transformation, more a character portrait of a man willing to commit and toss aside allegiances and relationships for his own emotional profit."" And there were multiple endings to the final act. I hate that, it got increasingly distracting, and the chosen conclusion was quite clumsy and awkward as a result. Overall it was a good film, but not one I'll remember in a few weeks. I did like it while I was watching it. Hence the 3 stars.",3,3,0,28,191,5-Sep-17,rated-6
Memories of Underdevelopment,1968,99,drama, , , ,3762,54 fans,3.85,10,26,33,105,127,434,675,1195,644,513," Memories of Underdevelopment was a pleasant surprise. Admittedly, looking forward at my list for this March's challenge, this was one of the film's that I was the least excited about. It's synopsis certainly gave it the potential to be painfully dry, but that was thankfully miles from the truth. Memories of Underdevelopment is a hell of a character study buried in a violently political, revolutionary Cuban setting. It sadly made me realize how ignorant I am to most of Cuban history. Some research and a revisit are definitely in order. This worked best for me as a study of a confused, horny man clinging on to Cuba as everything close to him drifts past. The message of the film felt less focused when it zoomed out to look at the greater issues of Cuba. I enjoyed these sequences much less. Overall, Memories of Underdevelopment is a really strong film, that I would highly recommend to people who love sad character studies like Taxi Driver or Five Easy Pieces. Also communism.",1,2,2,12,11,19-Mar-20,rated-7
Memories of Underdevelopment,1968,99,drama, , , ,3762,54 fans,3.85,10,26,33,105,127,434,675,1195,644,513," Playful camera movement like the french new wave, characters that seem to have come out a Fellini film and a look on Cuban's history and political events of the time makes this film worth a watch. One of few films i have seen that come close to what a Novel feels like.Damet garm Soroush :)",1,11,1,250,284,13-Apr-17,rated-8
