Film Title,Film Year,Film Length,Genre 1,Genre 2,Genre 3,Genre 4,Language 1,Language 2,Language 3,Language 4,Country 1,Country 2,Country 3,Country 4,Total Ratings,Number of Fans,Average Ratings,0.5 Rating,1.0 Rating,1.5 Rating,2.0 Rating,2.5 Rating,3.0 Rating,3.5 Rating,4.0 Rating,4.5 Rating,5.0 Rating,Review Text,Number of Paragraphs,Number of Likes,Comments,Followers,Following,Date
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491," An origin story that is a weird amalgamation of sorcery, Santa lore, Christian nativity story, and Nazi Germany. While I can appreciate the detailed stop-motion animation and some catchy tunes, the content is a bit too ridiculous to amount to anything enjoyable. Again, another Christmas TV special that I didn't grow up on, so I have little attachment to this one.",1,3,0,296,810,"09 Dec, 2017"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491," Thoroughly charming.  The Rankin/Bass stop-motion animation remains a perfect vehicle this particular kind of Christmas storytelling, and it features fun characters, great vocal performances (from the likes of Mickey Rooney, Fred Astaire, Keenan Wynn, and Paul Frees), catchy songs, and a storyline that delivers a version of the origin of the Santa legend with an added touch of agreeable strangeness.  There is no need for great or deep analysis of this, it’s just a simple piece of upbeat holiday entertainment that leaves you feeling good about the season.",1,2,0,149,99,"08 Dec, 2018"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, What’s up I’m very buzzed and home from a night out so of course I’m gonna watch this CLASSIC while eating microwave pizza rolls. - I can quote this whole thing. Literally. I’m not messing with you. I watched this on repeat growing up and it is in my marrow- “when you sit on my lap today/a kiss per toy is the price you pay” let’s think about this - The kringles being good at making toys but just tossing them out because of the winter warlock is a perfect extended metaphor for me being a good writer but throwing out my shit because of insecurity and doubt!!!- also I sing the “put one foot in front of the other” when I’m depressed and trying to get myself to do small tasks- wow is this movie my antidepressants - I hate this movie for being so damn pretty. I’m such a fan of stop motion. And for making me think gingers are hot.- the burgermeister is T R U M P (don’t cha love this hot take)- this penguin should not be in Germany - Mickey Rooney has my heart even though he was a dick to Judy Garland and yes I know he’s dead - I love this Santa origin story and find it hilarious that it somehow still has God in it??,2,2,1,105,198,"14 Dec, 2018"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491," Viewed on DVD Christmas Movie #1 I've seen this before but not as much as other Rankin/Bass classic animated TV Movies. Santa Claus' origin story is still pretty creepy and strange with pedophilia undertones, penguins encouraging breaking & entering and child labour resulting in children with grey hair. It's wonderful as always.",4,12,2,999,"1,374","07 Dec, 2014"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, Why is Fred Astaire opening mail that does not belong to him? He should be fired from the postal service. My controversial political opinion is that the Burgermeister Meisterburger has some good ideas.,2,2,0,85,93,"03 Dec, 2019"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, burgermeister meisterburger,1,54,1,471,"2,490","16 Dec, 2015"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, PUT 👏 ONE 👏 FOOT👏 IN 👏FRONT 👏OF 👏THE 👏OTHER 👏AND👏 SOOOOON 👏YOU'LL 👏BE 👏WAAAALKIN 👏OUT 👏THE 👏DOOOOOR,1,10,0,48,76,"01 Dec, 2019"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, 🎄🎅🎁,1,2,0,797,768,"16 Dec, 2019"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, I wouldn't normally log these Christmas movies but I'm getting desperate to catch up on my 365 Movies Watched in 2019 thing,1,2,0,"1,184",545,"21 Dec, 2019"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, PUT ONE FOOT IN FRONT OF THE OTHER AND SOON YOU’LL BE WALKIN’ OUT THE DOOOR,2,2,0,25,41,"11 Feb, 2020"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, Burger Meister is the GOAT Rankin & Bass,1,3,0,28,57,"24 Dec, 2018"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491," Probably the second best Rankin and Bass, to Rudolph. GREAT songs, plus Winter Warlock AND Meister Burger?",1,3,1,34,15,"22 Dec, 2019"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, dare i say it but........young ginger santa is kinda hot,1,10,1,81,79,"16 Dec, 2018"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491," Watching this again as an adult, I realize that this movie is literally just a metaphor for nazi Germany during ww2. Burgermeister meisterburger represents Hitler and the toys represent the Jews. While Kris Kringle and the townspeople represent the axis powers. You can think I'm crazy all you want but watch this again with that in mind and you're mind will be blown.",1,3,0,13,14,
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, santa claus has came.,1,4,0,110,293,"14 Dec, 2018"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491," Thoroughly charming.  The Rankin/Bass stop-motion animation remains a perfect vehicle this particular kind of Christmas storytelling, and it features fun characters, great vocal performances (from the likes of Mickey Rooney, Fred Astaire, Keenan Wynn, and Paul Frees), catchy songs, and a storyline that delivers a version of the origin of the Santa legend with an added touch of agreeable strangeness.  There is no need for great or deep analysis of this, it’s just a simple piece of upbeat holiday entertainment that leaves you feeling good about the season.",1,2,0,149,99,"08 Dec, 2018"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, Definitely a classic! Was I singing a long? Most certainly yes!,1,4,0,233,423,"01 Dec, 2019"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, An essential part of a child’s Christmas tradition. Rankin and Bass tell the tale of how Santa Claus came to be. Christmas List,2,11,0,319,668,"08 Dec, 2019"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491," The best Christmas special and most perfect! Contrary to popular belief I do have sentimental favorites in life! Even while watched sick and miserable, it still warms my heart! 10/10",3,7,0,139,181,"21 Dec, 2019"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, An essential part of a child’s Christmas tradition. Rankin and Bass tell the tale of how Santa Claus came to be. Christmas List,2,11,0,319,668,"08 Dec, 2019"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, what if santa claus was an anarchist?,1,2,0,17,41,"01 Dec, 2019"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, i love the smscu (stop motion santa claus universe),1,4,0,93,103,"01 Dec, 2019"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491," MERRY CHRISTMAS EVERYONE!!! i’m so happy to have all of you in my life and i’m so glad that letterboxd has brought me so many friendships too!! i love you all SOOOOO much 💕💕🎄🎄  and kate, linly, kareem, jose and everyone else i talk to on a regular basis: i love talking to y’all on here and on social media too and i’m glad we’re all able to connect, it’s so nice to be able to bond with people who love film as much as i do :)",2,13,2,297,"5,545","25 Dec, 2017"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491," Biopic on Santa, fills in everything you wanted to know except who were his parents. He shows up as Baby Orphan Claus. PRO: The direction in this is a big step up from “Rudolph the Red-Nosed Reindeer”. CON: As a whole this isn’t as cutesy as Rudy.",1,3,0,12,172,"15 Dec, 2019"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, Do people just not have pupils or....?,1,2,0,10,10,"05 Dec, 2019"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, Dope,1,3,1,95,262,"25 Dec, 2018"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, sure this isn’t perfect and the ‘kiss for a toy’ thing doesn’t sit well in 2018 but if you hate this you’re heartless,1,2,0,114,149,"16 Dec, 2018"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, Imposing Villains That I Want To Be Redeemed By Being Given Their Favorite Childhood Toy: - Jason Voorhees- Candyman- General Grievous- Skeletor - Every single Sith- Frankenstein’s Monster - The Gill Man- Doomsday - Gorilla Grodd- Giganta- Starscream Preferably in a crossover and it needs to be a Rankin Bass claymation film.,3,10,0,"1,163",749,"24 Dec, 2019"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, Why is Fred Astaire opening mail that does not belong to him? He should be fired from the postal service. My controversial political opinion is that the Burgermeister Meisterburger has some good ideas.,2,2,0,85,93,"03 Dec, 2019"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491," One of the Christmas traditions in my home is to pop in this stop motion classic by Rankin/Bass. I adored this film as a kid. I memorized all the songs, would laugh at the Burgermeister, and being the logical kid I was, was pleased that it answered questions about that fat bastard I loved dearly. Looking back on it now, it is extremely corny and hilarious, which makes it even better to watch. Some of the sequences had me pondering ""what the fuck drugs were these people on"". Specifically during the that psychedelic LSD song by Jessica. Another favorite has to be Mickey Rooney singing ""If You Sit On My Lap Today, A Kiss A Toy Is The Price You Pay."" Nothing says Christmas quite like pedophilia Santa.",1,4,0,237,408,"24 Dec, 2016"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491," I watch this every year, and every year, when it gets to Miss Jessica's psychedelic ""I'm gonna be me"" song, I'm like ""wtf, I don't remember this at ALL.""",1,6,2,117,88,"02 Dec, 2019"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, christmas hunt | task 3 Just put one foot in front of the other. I would also cancel everything that could hurt me if I were the Burgermeister.,3,9,0,875,"1,353","07 Dec, 2019"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, References to Nazi Germany... parallels between Santa and Christ... a full-blown psychedelic sequence for absolutely no reason other than it was 1970... that's what I call peace on Earth and good will toward men,1,3,0,67,699,"30 Dec, 2019"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491," An origin story that is a weird amalgamation of sorcery, Santa lore, Christian nativity story, and Nazi Germany. While I can appreciate the detailed stop-motion animation and some catchy tunes, the content is a bit too ridiculous to amount to anything enjoyable. Again, another Christmas TV special that I didn't grow up on, so I have little attachment to this one.",1,3,0,296,810,"09 Dec, 2017"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491," Part Seven of A Very Merry Christmas Challenge Although heavily dated in spots and unintentionally funny in others; Santa Claus is Comin' to Town is a sweet and charming animated work that will never cease to put a smile on my face. It's a true Christmas tradition, and it wouldn't be the Christmas season without it.",2,41,0,511,"29,621","06 Dec, 2014"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491," One of my favorite versions of Santa, (Kris Kringle reminds me a lot more of a Robin Hood archtype here), some deep, and masterful horror imagery, and a depiction of communism. This one gets more interesting the more I'm exposed to this. Had no plans of watching this anytime soon, but here we are. Also, you can't go wrong with a penguin for a sidekick.",2,3,0,63,151,"14 Mar, 2020"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, Santa is apparently a natural redhead. Cool.,1,4,0,628,721,"11 Dec, 2017"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, I wouldn't normally log these Christmas movies but I'm getting desperate to catch up on my 365 Movies Watched in 2019 thing,1,2,0,"1,184",545,"21 Dec, 2019"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, ok yo.... this shit is the real deal. i've watched this movie every year for the past 10+ years and it never ceases to take me on an emotional journey. the songs are fucking GOOD. the Winter Warlock's character arc is *chef's kiss*. Miss Jessica's torch song is iconic. the wedding scene in the forest? pure c i n e m a. hands down the best santa claus origin story out there. the ending makes me genuinely sentimental for the holiday !!! narrated by fred astaire baby!!!,1,1,3,55,68,"25 Dec, 2019"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, Dope,1,3,1,95,262,"25 Dec, 2018"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, The scene where Santa makes the kids kiss him in order to get a toy comes across kinda creepy these days.,1,3,0,4,53,"25 Dec, 2017"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491," Well if you ever wanted to know Santa Claus's origin story and see it in stop motion animation, then this is for you! It's narrated by Fred Astaire and stars Mickey Rooney! You gotta admire these old kids movies because they weren't afraid to go dark to scare children. There's actually a scene where the town villain takes all the children's toys and sets them on fire in front of them. Pretty intense stuff. They actually cut that scene whenever they show it on television nowadays among a few other parts.  There's some pretty catchy tunes and a ""great"" message that toys will make you ""happy"". All sarcasm aside, it's a pretty good flick.",3,2,3,614,459,"24 Dec, 2015"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491," The best family Christmas film out there! The songs are catchy and memorable, the stop motion is beautiful, and Mickey Rooney kills it as Chris Kringle! This film legitimately made me believe in Santa Claus as a kid and I can’t recommend it enough for a fantastic holiday film.",1,2,0,56,37,"21 Dec, 2019"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, the one foot in front of the other song gets stuck in my head every time i walk,1,3,0,4,2,
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, Why do these people allow themselves to be fucked with by a guy named Bergermeister Meisterberger? Laugh him out of town ASAP.,1,5,0,219,340,"24 Dec, 2017"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, rankin and bass had such a mean streak in them it makes so much sense that they directed the last unicorn,1,7,0,103,"3,452","17 Dec, 2017"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, PUT 👏 ONE 👏 FOOT👏 IN 👏FRONT 👏OF 👏THE 👏OTHER 👏AND👏 SOOOOON 👏YOU'LL 👏BE 👏WAAAALKIN 👏OUT 👏THE 👏DOOOOOR,1,10,0,48,76,"01 Dec, 2019"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, santa wheelin and dealin,1,2,1,390,298,"13 Dec, 2019"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, rankin & bass have done better but this is still a must watch every year,1,2,0,114,149,"03 Dec, 2019"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, Imposing Villains That I Want To Be Redeemed By Being Given Their Favorite Childhood Toy: - Jason Voorhees- Candyman- General Grievous- Skeletor - Every single Sith- Frankenstein’s Monster - The Gill Man- Doomsday - Gorilla Grodd- Giganta- Starscream Preferably in a crossover and it needs to be a Rankin Bass claymation film.,3,10,0,"1,163",749,"24 Dec, 2019"
Osmosis Jones,2001,95,family,comedy,adventure,action,English, , , ,USA, , , ,17157,12 fans,2.76,224,718,885,2913,3189,5104,2101,1384,184,455," OSMOSIS JONES (2001)""A white blood cell policeman with the help of a cold pill must stop the deadly virus from destroying the human they live inside of."" ""You want Osmosis? You got Osmosis!""Blending live action and animation in a unique way that hasn't been done right since Who Framed Roger Rabbit? (1988), Osmosis Jones is a smart yet silly animated children's delight that delivers equal doses of intelligent humor and gross-out gags. The voice acting is superb and well-casted, the messages of the importance of maintaining proper health and how being unhealthy is dangerous for anybody, and the animated segments are fantastically well envisioned. Bill Murray is a hoot as always, although his character gets a bit too gross for comfort at times. Still a childhood gem!",2,4,0,86,202,"07 May, 2019"
Osmosis Jones,2001,95,family,comedy,adventure,action,English, , , ,USA, , , ,17157,12 fans,2.76,224,718,885,2913,3189,5104,2101,1384,184,455, What a poor film. Tops greenbook though.,1,4,3,69,111,"20 Mar, 2019"
Osmosis Jones,2001,95,family,comedy,adventure,action,English, , , ,USA, , , ,17157,12 fans,2.76,224,718,885,2913,3189,5104,2101,1384,184,455, A deadly virus that a corrupt politician ignores? If you take out Kid Rock's performance this movie is so modern.,1,10,0,188,81,"13 Mar, 2020"
Osmosis Jones,2001,95,family,comedy,adventure,action,English, , , ,USA, , , ,17157,12 fans,2.76,224,718,885,2913,3189,5104,2101,1384,184,455, yes,1,3,0,219,259,
Osmosis Jones,2001,95,family,comedy,adventure,action,English, , , ,USA, , , ,17157,12 fans,2.76,224,718,885,2913,3189,5104,2101,1384,184,455, Body horror for kids of all ages,1,3,0,13,18,"01 Aug, 2020"
Osmosis Jones,2001,95,family,comedy,adventure,action,English, , , ,USA, , , ,17157,12 fans,2.76,224,718,885,2913,3189,5104,2101,1384,184,455," Help us, Osmosis Jones. You’re our only hope.",1,7,0,401,337,"17 Mar, 2020"
Osmosis Jones,2001,95,family,comedy,adventure,action,English, , , ,USA, , , ,17157,12 fans,2.76,224,718,885,2913,3189,5104,2101,1384,184,455," yo, this movie is actually wild. i got a wax pen today, so that may have contributed to my enjoyment.",1,4,0,109,147,"23 Jul, 2019"
Osmosis Jones,2001,95,family,comedy,adventure,action,English, , , ,USA, , , ,17157,12 fans,2.76,224,718,885,2913,3189,5104,2101,1384,184,455," Irredeemingly disgusting. One of the most sickening movies I've ever watched. I can't handle so many bodily fluids. Kudos to Murray for being game enough to be humiliated on screen so much. The animated sequences are interesting, but there isn't enough of it.",1,4,0,"1,256",576,
Osmosis Jones,2001,95,family,comedy,adventure,action,English, , , ,USA, , , ,17157,12 fans,2.76,224,718,885,2913,3189,5104,2101,1384,184,455, Bill Murray in this is the most disgusting character in the history of cinema.,1,8,0,88,98,"10 Aug, 2019"
Osmosis Jones,2001,95,family,comedy,adventure,action,English, , , ,USA, , , ,17157,12 fans,2.76,224,718,885,2913,3189,5104,2101,1384,184,455, Osmosis Jones will defeat coronavirus,1,19,0,53,315,"23 Aug, 2020"
